,from,to,weight
0,2,1,3.359269507
1,3,1,4.924089532
2,3,2,3.318679148
3,4,1,1.396667454
4,4,2,1.29984777
5,4,3,1.379543487
6,5,1,4.700152534
7,5,2,3.168189205
8,5,3,4.749567867
9,5,4,1.267849926
10,6,1,4.678887876
11,6,2,2.798062053
12,6,3,4.757633616
13,6,4,1.214254448
14,6,5,4.606265282
15,7,1,2.246386804
16,7,2,2.08981161
17,7,3,2.34316497
18,7,4,0.986202244
19,7,5,2.244174669
20,7,6,1.833811571
21,8,1,3.958952
22,8,2,3.265285841
23,8,3,3.904633727
24,8,4,1.608322219
25,8,5,3.826904764
26,8,6,3.286825381
27,8,7,2.510854254
28,9,1,4.923021741
29,9,2,3.311738992
30,9,3,4.999271523
31,9,4,1.379211125
32,9,5,4.755222901
33,9,6,4.753241742
34,9,7,2.361964855
35,9,8,3.907951773
36,10,1,4.922993171
37,10,2,3.311781008
38,10,3,4.999278888
39,10,4,1.380246253
40,10,5,4.755133341
41,10,6,4.753357854
42,10,7,2.361456348
43,10,8,3.907598653
44,10,9,4.999995123
45,11,1,4.913185432
46,11,2,3.323498659
47,11,3,4.984136708
48,11,4,1.377805912
49,11,5,4.751833466
50,11,6,4.764475361
51,11,7,2.370312532
52,11,8,3.921223145
53,11,9,4.983493137
54,11,10,4.983408538
55,12,1,4.922995961
56,12,2,3.311113416
57,12,3,4.999223895
58,12,4,1.379968022
59,12,5,4.755465563
60,12,6,4.753344456
61,12,7,2.361894083
62,12,8,3.90759483
63,12,9,4.999993182
64,12,10,4.999996037
65,12,11,4.983383394
66,13,1,4.913714094
67,13,2,3.315691826
68,13,3,4.991677187
69,13,4,1.38257553
70,13,5,4.763069927
71,13,6,4.762279474
72,13,7,2.36500761
73,13,8,3.913360029
74,13,9,4.991473131
75,13,10,4.991400352
76,13,11,4.991960647
77,13,12,4.991401414
78,14,1,4.913639692
79,14,2,3.316675016
80,14,3,4.991691784
81,14,4,1.38198884
82,14,5,4.763062347
83,14,6,4.761343084
84,14,7,2.366063753
85,14,8,3.91382662
86,14,9,4.991473846
87,14,10,4.991399081
88,14,11,4.991958834
89,14,12,4.991400252
90,14,13,4.99999227
91,15,1,4.922927569
92,15,2,3.311297245
93,15,3,4.999270073
94,15,4,1.379568698
95,15,5,4.754825282
96,15,6,4.753511247
97,15,7,2.362390821
98,15,8,3.90675933
99,15,9,4.99999374
100,15,10,4.999992528
101,15,11,4.983529401
102,15,12,4.999992752
103,15,13,4.991519776
104,15,14,4.991522957
105,16,1,4.922789119
106,16,2,3.311372457
107,16,3,4.999242796
108,16,4,1.38073356
109,16,5,4.754739046
110,16,6,4.753189303
111,16,7,2.362072076
112,16,8,3.907943339
113,16,9,4.999993326
114,16,10,4.999996497
115,16,11,4.983359061
116,16,12,4.999993903
117,16,13,4.991379112
118,16,14,4.991374914
119,16,15,4.99999022
120,17,1,4.899637258
121,17,2,3.308535995
122,17,3,4.98044483
123,17,4,1.360803134
124,17,5,4.754632921
125,17,6,4.761626289
126,17,7,2.366580015
127,17,8,3.871779086
128,17,9,4.980632149
129,17,10,4.980539503
130,17,11,4.98082553
131,17,12,4.980510563
132,17,13,4.972077488
133,17,14,4.972161529
134,17,15,4.980667618
135,17,16,4.9804973
136,18,1,4.899156604
137,18,2,3.316456296
138,18,3,4.963924368
139,18,4,1.36011217
140,18,5,4.724446694
141,18,6,4.77490799
142,18,7,2.369272247
143,18,8,3.843698398
144,18,9,4.962950904
145,18,10,4.962851318
146,18,11,4.964263348
147,18,12,4.962799346
148,18,13,4.954248081
149,18,14,4.954453687
150,18,15,4.963101482
151,18,16,4.962774436
152,18,17,4.983310301
153,19,1,4.417056796
154,19,2,2.775288257
155,19,3,4.497441187
156,19,4,1.210476624
157,19,5,4.235411421
158,19,6,4.586767247
159,19,7,1.895114364
160,19,8,3.139688195
161,19,9,4.489595141
162,19,10,4.489889014
163,19,11,4.508380818
164,19,12,4.489997352
165,19,13,4.497737666
166,19,14,4.49711796
167,19,15,4.490370124
168,19,16,4.489152448
169,19,17,4.499275195
170,19,18,4.515401564
171,20,1,4.922752938
172,20,2,3.309549246
173,20,3,4.999246618
174,20,4,1.379697295
175,20,5,4.755189296
176,20,6,4.754634454
177,20,7,2.360009375
178,20,8,3.905914857
179,20,9,4.99999091
180,20,10,4.999990871
181,20,11,4.983465087
182,20,12,4.99999193
183,20,13,4.991531035
184,20,14,4.991529376
185,20,15,4.999989566
186,20,16,4.999989916
187,20,17,4.980599566
188,20,18,4.962892392
189,20,19,4.490449938
190,21,1,4.912956601
191,21,2,3.32252436
192,21,3,4.984145351
193,21,4,1.377578859
194,21,5,4.751574742
195,21,6,4.765654925
196,21,7,2.369424937
197,21,8,3.920011977
198,21,9,4.983495053
199,21,10,4.983410441
200,21,11,4.999992881
201,21,12,4.983387013
202,21,13,4.991963687
203,21,14,4.991959035
204,21,15,4.983533706
205,21,16,4.983358806
206,21,17,4.980814941
207,21,18,4.964215197
208,21,19,4.509883331
209,21,20,4.983472968
210,22,1,4.923214637
211,22,2,3.31141061
212,22,3,4.999276129
213,22,4,1.379436247
214,22,5,4.755533339
215,22,6,4.753570212
216,22,7,2.361762059
217,22,8,3.90665251
218,22,9,4.999993161
219,22,10,4.999990126
220,22,11,4.983426988
221,22,12,4.999992681
222,22,13,4.99141806
223,22,14,4.991421162
224,22,15,4.999995134
225,22,16,4.999985284
226,22,17,4.980832318
227,22,18,4.963163024
228,22,19,4.490795153
229,22,20,4.999988161
230,22,21,4.983433039
231,23,1,2.321576666
232,23,2,2.243745106
233,23,3,2.24382441
234,23,4,1.32049291
235,23,5,2.214386491
236,23,6,1.806699949
237,23,7,1.967427457
238,23,8,2.28756978
239,23,9,2.253429427
240,23,10,2.254032171
241,23,11,2.253657389
242,23,12,2.254372668
243,23,13,2.256202542
244,23,14,2.257519074
245,23,15,2.252657427
246,23,16,2.25345428
247,23,17,2.239816095
248,23,18,2.283346086
249,23,19,1.869684633
250,23,20,2.252885459
251,23,21,2.252658281
252,23,22,2.253772208
253,24,1,4.872261788
254,24,2,3.283259608
255,24,3,4.942717576
256,24,4,1.376596822
257,24,5,4.72543073
258,24,6,4.817247765
259,24,7,2.265537047
260,24,8,3.86175567
261,24,9,4.939477328
262,24,10,4.939273967
263,24,11,4.958951828
264,24,12,4.939293219
265,24,13,4.947748832
266,24,14,4.947672584
267,24,15,4.939441932
268,24,16,4.93915243
269,24,17,4.944730121
270,24,18,4.961947479
271,24,19,4.561671425
272,24,20,4.939580938
273,24,21,4.959058397
274,24,22,4.939463177
275,24,23,2.252006642
